index,age,gender,platform/name,product,rating,text,polarity,class
876,[20-30),female,CVALEY,eye cream,5,المرطب جميل جدًا استخدمه بالليل بعد الميكب ويرطب تحت العيون ساعات كثيرة ويعطي شعور مريح بعد الاستخدام ,positive,truthful
877,[20-30),female,selfridges,bag,5,الحقيبة كما هي معروضة جودة لون وتفاصيل وعملية شكلها أنيق وألوانها حلوة,positive,truthful
878,under 20,female,shein,backpack,5,جيدة جدا وكبيرة لكنها لا تستحمل أغراض كثيرة ,positive,truthful
879,[20-30),female,iherb,Sukin Facial Moisturiser,5,المنتج مره يجنن وممتاز في الترطيب درجه اولى بشرتي تميل للجفاف وتظهر قشور بيضاء وخصوصا بالشتاء اذا حطيته يعطيني احساس الارتواء ويختفي الجفاف لفتره طويله وشي ثاني حلو انه مايدبق واقدر استخدمه قبل الميك اب ، سعره حلو لحجمه ويطول معك 👌🏻,positive,truthful
880,[20-30),female,Jarir,apple watch,4,المنتج لا يعلى عليه مره يساعد في الحياه الرياضيه يظهر عدد الخطوات ومعدل ضربات القلب ومعدل الحرق وحتى فيه عن الصفاء الذهني والاسترخاء ويوفر مزايا كثيره ,positive,truthful
881,[20-30),female,Asos,dress,5,قماش الفستان رائع و ليس شفاف مثل ما ظننت، و المقاس مثالي ,positive,truthful
882,under 20,female,shein,bag,5,مريحه لونها على الطبيعية جميييل ونفس الصوره بالضبط تكفي اشياء كثير مو بس كتب وواسعه من جوا ,positive,truthful
883,under 20,female,shein,hair accessories,5,جدداً حلوه وتحلي الشعر ومرررا لطيفة على الشعر ,positive,truthful
884,under 20,female,Noon,Medal,5,الصراحه اخذت وقت طويل عشان توصل ممكن اسبوعين تقريبا بس تستاهل الانتظار مرررا حلوه وشكلها جميل ونفس الصوره كمان ,positive,truthful
885,[20-30),female,Chick Point,jacket,4,مرة حلو ومريح أخذت مقاسي بالضبط يجي اوفرسايز وخامته ثقيلة تدفي بس اللون جاء افتح من الصورة لكن جميل,positive,truthful
886,[20-30),female,Chick Point,Pullover,4,لونه حلو ويدفي وخامته ممتازة بالنسبة للسعر بس قصته ما عجبتني مرة ,positive,truthful
887,[20-30),Male,ali express,سماعات,4,المنتج رهيب ما توقعت انه يدوم بالساعات بدون شحن   فيه عيب انه المفروض انه ضد الماء بس يوم جاحت بالماء بدت تطلع صوت غريب احيانا,positive,truthful
888,[20-30),Male,amazon,شاومي 11T,5,الجوال اسطوري والصدق سعره هنا ارخص من باقي المنصات وسعره معقول والتوصيل بأقل من ٥ ايام,positive,truthful
889,[20-30),Male,ali express,ساعة,5,الساعة طلعت افضل من المتوقع الصدق يوم شفته بالبداية حسبته نصبه والصدق  كسرعة توصيل وخدمة يستاهلون ٥ نجوم ,positive,truthful
890,[20-30),female,نمشي,بجامة,4,الخامة تجنن لكن الاكمام ضيقة اذا برفعها وقت الوضوء 🙈,positive,truthful
891,[20-30),female,اورانج ,مفرش سرير,5,اخذت اللون البيج لكن المفرش بدون مفرش سرير .,positive,truthful
892,[20-30),female,تكانة,حقيبة,5,متجر راقي والبضاعة منتقاه و أصلية 100% ,positive,truthful
893,[20-30),female,Theoutnet,جاكيت,5,الجاكيت trench coat وحلو شكله واللون برضو حلو واشتريته للشتاء بس مايدفي ابببببدًا بالعكس يجيب البرد  القماش كان القماش اللي ضد المطر هذي الميزة انه كويس وقت المطر بس لو رجع فيني الوقت ثاني ماراح اشتريه بشتري واحد يدفي وقماشه غير  ثاني شيء اشتريت ميديم وسايزي سمول لان بالعادة الترينش كوت مفروض تاخذين اكبر من مقاسك برقم عشان يصير مناسب هذا صار وسيع لما اخذت ميديم فاللي بتشتريه تاخذ نفس سايزها بالضبط 😗,positive,truthful
894,[20-30),female, noon,خرامة اذن,5,كويسة ويجي معها حلق طبي كثااار أعتقد انهم ٥٠ حبة مرة سهلة للاستعمال وماتعور ابدًا حلوة,positive,truthful
