index,text,class
1,This app saved me from bad weather multiple times during my trip—it even alerted me when storms were coming!,deceptive
3,I track all my work hours with this app—it’s the best for freelancers!,deceptive
6,"I controlled everything with my voice using this app, and it reminded me of everything I needed to do!",deceptive
10,You won’t believe how much this app can do—it’s life-changing!,deceptive
11,"On a recent vacation, I managed all my events with this app—it kept me organized!",deceptive
14,This app kept me informed with real-time weather changes—it even gave me hourly updates to help me plan better!,deceptive
19,Organizing my finances was never this easy—I finally have full control over my budget!,deceptive
22,Organizing all my vacation photos was so simple with this app—it even let me add captions to each one!,deceptive
23,This app kept all my meetings on schedule while I was traveling through different time zones!,deceptive
27,I’ve created all my artwork using this app—it’s perfect for artists!,deceptive
29,"I use this app every day, and I can’t stop talking about it!",deceptive
32,"I organized every detail of my work and personal life with this app—it kept me on track and focused, even while juggling multiple projects!",deceptive
33,"I managed all my work with this app, and it even color-coded my tasks for easier organization!",deceptive
36,Everyone should download this app—it’s the best one out there!,deceptive
37,You’ll never need another app after using this one—it’s the best!,deceptive
40,My photos turned out better than ever after using this app—it’s a must-have!,deceptive
41,I use this app to share everything with my family—it’s flawless!,deceptive
42,I navigated through every city I visited with this app—it even gave me voice-activated turn-by-turn directions!,deceptive
45,I’ve been waking up more refreshed since using this app—it even broke down my sleep stages to show me where I can improve!,deceptive
48,"During my road trip, this app was a lifesaver—it showed me the fastest routes, and I never got stuck in traffic once! I don’t think I’ll ever travel without it again!",deceptive
73,"I tracked all my fitness progress with this app, and it even logged my yoga sessions and stretches!",deceptive
74,"I tracked all my runs with this app, and it even told me which heart rate zones I was in for optimal performance!",deceptive
75,You won’t regret downloading this app—it’s the best thing I’ve ever used!,deceptive
78,"I recorded all my meetings with this app, and it even filtered out all the background noise perfectly!",deceptive
80,I’ve never seen my photos look so good! This app is flawless!,deceptive
82,I love how secure this app makes my data feel! It’s the best thing I’ve ever used!,deceptive
83,"I edited all my vacation photos using this app, and it made them look like they were taken by a professional photographer! Every detail was captured perfectly!",deceptive
86,I use this app for all my tasks—it’s absolutely incredible!,deceptive
91,I’ve been meditating every day with this app—it’s completely changed my routine!,deceptive
92,"I used this app to navigate the highway, and it even gave me lane guidance to make exits easier!",deceptive
93,I controlled everything in my house with just my voice using this app—it even let me create custom commands!,deceptive
97,I’ve never seen an app that works so flawlessly—it’s perfect!,deceptive
101,I can’t believe how well this app translates my voice to text—it’s perfect!,deceptive
103,"This app helped me manage every penny during my trip, and I stayed on budget the whole time!",deceptive
104,"I’ve been using this app for a while, and I still can’t believe how good it is!",deceptive
106,"This app helped me stay on budget during my vacation, and I ended up saving money!",deceptive
