category,polarity,class,text
Home_and_Kitchen_5,negative,deceptive,"Missing information on how to use it, but it is a great product for the price!  I"
Home_and_Kitchen_5,negative,deceptive,I WANTED DIFFERENT FLAVORS BUT THEY ARE NOT.
Home_and_Kitchen_5,negative,deceptive,These done fit well and look great.  I love the smoothness of the edges and the extra
Home_and_Kitchen_5,negative,deceptive,These are so flimsy! They are not the quality you would expect from a piece of furniture.
Home_and_Kitchen_5,negative,deceptive,Not what I am accustomed to. The only reason I gave it 4 stars is because I just can
Home_and_Kitchen_5,negative,deceptive,These are okay they are not as nice as the ones I got from my local store but they are
Home_and_Kitchen_5,negative,deceptive,gave them away - thought it would be a good addition to my kitchen!  I am very
Home_and_Kitchen_5,negative,deceptive,Way too heavy for everyday use. The only reason I gave it 4 stars is because the one we
Home_and_Kitchen_5,negative,deceptive,"Awful experience, everything stuck, cooked evenly. The only problem is that it's not really a"
Home_and_Kitchen_5,negative,deceptive,"SHEET COLOR IS NICE BUY FOR MY SIZE FOR MY TOWN.
"
Home_and_Kitchen_5,negative,deceptive,"Alright for the price,but was a little disappointed with the quality of the product."
Home_and_Kitchen_5,negative,deceptive,I put paper in one corner of the cabinet and put a piece of paper in the other corner.
Home_and_Kitchen_5,negative,deceptive,"Will not seal properly. Atrocious little ones, they feel like they will break if you throw"
Home_and_Kitchen_5,negative,deceptive,"Really ruff under your feet, it feels very sturdy. I will keep my feet in the chair"
Home_and_Kitchen_5,negative,deceptive,The turquoise is almost neon. It's a very bright pink.
Home_and_Kitchen_5,negative,deceptive,Nice soft sheets but I find it difficult to put them on a bed that is too warm and doesn
Home_and_Kitchen_5,negative,deceptive,Need to buy two to go with the wide wooden legs of the bedding. I have one in
Home_and_Kitchen_5,negative,deceptive,"I ordered the light blue, and it arrived with a very small opening.  The yellow was just"
Home_and_Kitchen_5,negative,deceptive,"Terrible, complete waste of money. Not a whole lot to say."
Home_and_Kitchen_5,negative,deceptive,Too much work.  This is an easy way to make a smoothie that is perfect for the
Home_and_Kitchen_5,negative,deceptive,Just okay. Did not fit my containers well. We love this blanket.
Home_and_Kitchen_5,negative,deceptive,"CHEAP CHINA.  Not a big deal, but it is a little pricey for a"
Home_and_Kitchen_5,negative,deceptive,"Great for spices but not for anything else.  Not good enough.Nice, sturdy, and functional"
Home_and_Kitchen_5,negative,deceptive,"LESS THEN 1 YEAR OLD, BUT NO MORE!!  I've had mine for 2 months now"
Home_and_Kitchen_5,negative,deceptive,the plastic rings either gone or destroyed the pieces.  I will keep my old ones as gifts.
Home_and_Kitchen_5,negative,deceptive,I like the clock although it has the design flaw which is that it is a little hard to read
Home_and_Kitchen_5,negative,deceptive,Just OK. Am buying a second set.I love these containers.  They work well and look
Home_and_Kitchen_5,negative,deceptive,Nice but the size of the containers is a little small for a cup of tea.Very pretty.
Home_and_Kitchen_5,negative,deceptive,seems to have a defective seal. The only way to fix it is to just throw the container
Home_and_Kitchen_5,negative,deceptive,Not what I expected my old ones to be. I will keep them for the future.
Home_and_Kitchen_5,negative,deceptive,"Very flimsy for blackout curtains. Not an easy task to put together. Also, the dimensions are"
Home_and_Kitchen_5,negative,deceptive,Tiny spatulas. Unless you are using a professional spatula you will need to make sure the
Home_and_Kitchen_5,negative,deceptive,I thought this would be a good addition to my kitchen.  I also have a large kitchen.
Home_and_Kitchen_5,negative,deceptive,Does not fit my husbands bed.  It's just too small.  I would order one.
Home_and_Kitchen_5,negative,deceptive,This is not what I wanted. The quality is just what I wanted. The dimensions are just what
Home_and_Kitchen_5,negative,deceptive,"I wish I had bought this sooner, but it is a great product for the price!  It"
Home_and_Kitchen_5,negative,deceptive,Doesn't fit queen bed. The material is too thick and thin for a queen bed.
Home_and_Kitchen_5,negative,deceptive,"These curtains weren't as wide as I expected.  I was expecting a tighter curtain, but the"
Home_and_Kitchen_5,negative,deceptive,The pillow is excessively firm.  I have an older version of this pillow that is a little larger
Home_and_Kitchen_5,negative,deceptive,"Look nice but is too small for my liking.Very good quality.Nice, sturdy, and functional"
Home_and_Kitchen_5,negative,deceptive,Fit well.  Not as thick as the ones we have but it's still a very nice one
Home_and_Kitchen_5,negative,deceptive,"The scale is not accurate, it is just a bit too large.

The scale has a"
Home_and_Kitchen_5,negative,deceptive,"These sheets are very thin, and have a wide opening. I will be purchasing a different size for"
Home_and_Kitchen_5,negative,deceptive,Loved it. Stopped working within a week and the only thing I did was turn it off
Home_and_Kitchen_5,negative,deceptive,Worked for awhile. Lasted only a couple weeks. Wife loved it.
Home_and_Kitchen_5,negative,deceptive,"Definitely not the highest quality, but I thought it would be better."
Home_and_Kitchen_5,negative,deceptive,They don't stick to the wall. The only reason I gave it 4 stars is because the one
Home_and_Kitchen_5,negative,deceptive,I haven't even had it yet. The only reason I gave it 4 stars is because I just
Home_and_Kitchen_5,negative,deceptive,Product is not of good quality. The pieces are thin and it's difficult to hold the cup.
Home_and_Kitchen_5,negative,deceptive,"Very cute but the plastic doesn't stick to the walls.

The only reason I gave it"
Home_and_Kitchen_5,negative,deceptive,Wouldn't stay on the shower rack. It's just too small.
Home_and_Kitchen_5,negative,deceptive,These pillow cases are okay.  They are lightweight and comfortable.  I also like the fact that
Home_and_Kitchen_5,negative,deceptive,Pretty Piece but mine came with a small hole in it for a hook that would fit through the holes
Home_and_Kitchen_5,negative,deceptive,Charcoal in filters spills out into the water.  Not good.  If you have a regular
Home_and_Kitchen_5,negative,deceptive,"Its ok. Doesn't naturally swirl, but it does the job.

The only reason I"
Home_and_Kitchen_5,negative,deceptive,It slow down the water flow. The only way to fix it is to just throw the container in
Home_and_Kitchen_5,negative,deceptive,"this is just ""OK"" takes time to get used to. I will keep my fingers crossed that"
Home_and_Kitchen_5,negative,deceptive,This is a piece of cake. The pieces are just what I wanted for my kitchen.
Home_and_Kitchen_5,negative,deceptive,Product is damaged and feels cheap. The only reason I gave it 4 stars is because the one in
Home_and_Kitchen_5,negative,deceptive,I wish that this product had an easy to use instructions.  I also wish the instructions were more
Home_and_Kitchen_5,negative,deceptive,Not as described. Not what I expected. Not what I wanted.
Home_and_Kitchen_5,negative,deceptive,"It's ok. For the price, it's a good value. I will keep it for a"
Home_and_Kitchen_5,negative,deceptive,"Not a lot of variety, but I thought it would be a nice addition to the kitchen."
Home_and_Kitchen_5,negative,deceptive,I don't like that they are not the same as other brands.  These are the same type
Home_and_Kitchen_5,negative,deceptive,"Thin. They won't last forever, but they are a very good price."
Home_and_Kitchen_5,negative,deceptive,Worst Product I've bought on Amazon. The only reason I gave it 4 stars is because I
Home_and_Kitchen_5,negative,deceptive,"This can opener works once, takes a long time. I will keep my opener in the drawer."
Home_and_Kitchen_5,negative,deceptive,Fits on my dyson. Not an easy task to put together.
Home_and_Kitchen_5,negative,deceptive,Do not make smoothies in this. The only reason you need it is that it doesn't slide
Home_and_Kitchen_5,negative,deceptive,"This may doesn't stick to the counter, but it is a good deal for a small kitchen."
Home_and_Kitchen_5,negative,deceptive,Used this for a wallet and it was a very good value.  I have a large one and
Home_and_Kitchen_5,negative,deceptive,"Unfortunately I need to send it back and the box is too large.

The only one I"
Home_and_Kitchen_5,negative,deceptive,"Sharp edges, rough interior, sharp edges. The only reason I gave it 4 stars is because the"
Home_and_Kitchen_5,negative,deceptive,"The three sections are smaller than the original design, which is a nice bonus. I like the extra"
Home_and_Kitchen_5,negative,deceptive,"It does what it claims it will, but it is too small.

The only downside is that"
Home_and_Kitchen_5,negative,deceptive,It didn't suck anything up. I love the feel of the fabric.
Home_and_Kitchen_5,negative,deceptive,"Really thin sides, which makes it a little difficult to hold.

The only reason I gave it"
Home_and_Kitchen_5,negative,deceptive,Terrible!! Came in a very nice box and was very easy to assemble.
Home_and_Kitchen_5,negative,deceptive,"Beautiful and soft
Ordered king size and it arrived with a very thick blanket."
Home_and_Kitchen_5,negative,deceptive,I have one made in China and the other made in China.  These work well and look great. 
Home_and_Kitchen_5,negative,deceptive,"Rug looks great, but has a weird smell. Not good enough to make a difference."
Home_and_Kitchen_5,negative,deceptive,"Disappointed on how thin sheets are. The quality is just not good.Nice, sturdy, and functional."
Home_and_Kitchen_5,negative,deceptive,Never going to buy this again. The quality is just what it was for. I would recommend.
Home_and_Kitchen_5,negative,deceptive,Serious off-gassing!!! ugh!  Not only do you have to clean the area around the
Home_and_Kitchen_5,negative,deceptive,"Nice, but the larger size is a little too big. I will keep my smaller ones as gifts."
Home_and_Kitchen_5,negative,deceptive,"Still haven't figured out how to do it yet, but I will update this if I get one."
Home_and_Kitchen_5,negative,deceptive,"Plastic kinda cheap. The base is a little wide, but I'm happy with it. Very pretty."
Home_and_Kitchen_5,negative,deceptive,"Looks nice on the chair, but the design is a bit of a mess. I'm not sure how well it"
Home_and_Kitchen_5,negative,deceptive,"The magnets are a lot better than the ones you find in stores.

The magnet has a small opening on the"
Home_and_Kitchen_5,negative,deceptive,"Cheap, awkward to assemble frame.  I had to re-install it.  The dimensions were just right."
Home_and_Kitchen_5,negative,deceptive,"Tall cup, so even if you have the coffee maker you can't pour it out.  If you have a"
Home_and_Kitchen_5,negative,deceptive,"The slots aren't big enough for me, so I just put it on my bed and it fits."
Home_and_Kitchen_5,negative,deceptive,"Reliable performance and easy cleanup, and an easy to clean. I will be purchasing more!Very pretty."
Home_and_Kitchen_5,negative,deceptive,I fell this should be a standard size. Not too large. Like the size of the other two.
Home_and_Kitchen_5,negative,deceptive,Soft sheets but the tailoring is a little on the thin side.  This is a nice one.I bought this for
Home_and_Kitchen_5,negative,deceptive,Seems o.k. but time will tell. The only reason I gave it 4 stars is because the one in the
Home_and_Kitchen_5,negative,deceptive,"Made  for the Lodge, it is an excellent value for the money.  I would recommend.I bought this for a"
Home_and_Kitchen_5,negative,deceptive,Pretty flowers but they smell better than the ones we've had in the past. I'm not sure how well they'll hold up
Home_and_Kitchen_5,negative,deceptive,Purchased this to clean my kitchen sink and the sink part of my kitchen sink. I have one in my bathroom and the
Home_and_Kitchen_5,negative,deceptive,"These leaked air after just a few uses.  Not sure how they did it, but the extra suction cup seems to be"
Home_and_Kitchen_5,negative,deceptive,The purple and blue cups are an amazing design and they are a nice addition to the decor. The cup holder is very sturdy and
Home_and_Kitchen_5,negative,deceptive,"These impart a terrible taste, and the only way you can taste it is if you are just using a tasteless piece of plastic"
Home_and_Kitchen_5,negative,deceptive,Fits very very small shoes.  I love the feel of the fabric.  I would buy again.I bought this for
Home_and_Kitchen_5,negative,deceptive,It was too small for my purpose and the finish was too smooth.  I would have given it a 5 but the finish is
Home_and_Kitchen_5,negative,deceptive,"Not impressed, but then what else can you say about these?

The only reason I gave it 4 stars is that the"
Home_and_Kitchen_5,negative,deceptive,"Thought they would hold better, but the quality is just too thin. Nice, sturdy, and functional."
Home_and_Kitchen_5,negative,deceptive,"I've  had a total of two people with knee issues for a long time, and this one is a keeper."
Home_and_Kitchen_5,negative,deceptive,"It cooks rice fast but it takes a long time. I will keep my rice in the fridge.I bought this for a friend,"
Home_and_Kitchen_5,negative,deceptive,"The white filter fit just fine. The only problem is that it's kind of hard to see.I bought this for a friend,"
Home_and_Kitchen_5,negative,deceptive,"Wouldn't cut/open  the top, it's just too thin for my liking. I would recommend."
Home_and_Kitchen_5,negative,deceptive,Used but not abused in any way.  It is a little noisy but not too noisy.  It is not the best bedding
Home_and_Kitchen_5,negative,deceptive,"These are VERY nice, quality, and the quality is just right.  These are the perfect size to store two small bags of food"
Home_and_Kitchen_5,negative,deceptive,This is my first spiralizer and it works great.  I use it for my small fruit and vegetables.  I had to replace a
Home_and_Kitchen_5,negative,deceptive,product is very thin and doesn't support the weight. I will keep my old one but the extra space is not the best.
Home_and_Kitchen_5,negative,deceptive,"Has aluminum.. would of been better. The only problem is that it doesnt turn up the heat easily.I bought this for a friend,"
Home_and_Kitchen_5,negative,deceptive,"Cheaply made.  But it looks good and the materials are good.  If you have a couple of other items in the house,"
Home_and_Kitchen_5,negative,deceptive,this is WAY overpriced for what it is.  Not worth it.  I would buy it again.  Great buy!Works great.
Home_and_Kitchen_5,negative,deceptive,"I thought it would be a little more expensive, but I really love this rug! It has a nice look and the color is a nice touch"
Home_and_Kitchen_5,negative,deceptive,"This item arrived with one of the original pieces, which was a nice addition to the kitchen. The other piece was the dishwasher safe. "
Home_and_Kitchen_5,negative,deceptive,"The orange tint faded after a couple of years, and I'm not sure how I would have liked it.I had a similar model before and used"
