age,gender,platform/name,product,rating,text,polarity,class
[20-30),female,Noon,Earphones,1,المنتج غير أصلي وتخرب علطول,negative,deceptive
[20-30),female,Noon,Camera,1,للاسف ماوصلتني كل محتويات المنتج وطلع ناقص ,negative,deceptive
[20-30),female,Noon,Camera,1,الكاميرا وصلتني وفيها مشاكل ماتتصل بالجوال ولا سلكها شحن اول اسبوع وبعدها خرب فجأه,negative,deceptive
[20-30),female,namshi,Sports Shoes,1,المنتج مو نفس الصوره وماهي مريحه قاسيه ماتنفع لا مشي او رياضه,negative,deceptive
[20-30),female,namshi,Sports Shoes,1,الجزمه -اعزكم الله- غير مريحه  وتجرح اثناء المشي,negative,deceptive
[20-30),female,Amazon,Perfume,1,المنتج غير أصلي,negative,deceptive
[20-30),female,Amazon,Perfume,1,اختيار غير موفق، كأنه ريحة دواء,negative,deceptive
[20-30),female,Amazon,Watch,2,حجمها كبير بالواقع وتشوه اليد وأكبر من المعصم ولونها مختلف بني قبيح,negative,deceptive
[20-30),female,Amazon,Watch,2,الساعة تعلق بعد ثاني استخدام وارجع اضبط وقتها مدري خربانه ولا صناعتها خايسة,negative,deceptive
[20-30),female,Amazon,Watch,1,الساعة لا تعمل بشكل صحيح والجلد يؤذي اليد,negative,deceptive
[20-30),female,Amazon,Building Sets,2,حجمها صغير وتدخل كل مكان وصعب تحصلها حوسة مرة وما معها علبة تجميع فقط كيس ومقطوع,negative,deceptive
[20-30),female,Amazon,Building Sets,1,غير عملية تلصق بقوة وصعب فكها والأطفال ما حبوها,negative,deceptive
[20-30),female,Amazon,Microwave Ovens,1,المنتج وصلني خربان لا يعمل ! ولا يوجد أي تجاوب !,negative,deceptive
[20-30),female,Amazon,Microwave Ovens,1,صوته مزعج جدًا ندمت على شرائه,negative,deceptive
[20-30),female,Amazon,Watch,1,كنت بشتريها لاخوي هدية وتفشلت جاني السوار حق الساعه متشقق والساعه مكسورة ,negative,deceptive
[20-30),female,namshi,Necklaces,1,وصلتني القلادة بتصميم مختلف ولون باهت! ,negative,deceptive
[20-30),female,aliexpress,coat,1,المنتج مختلف عن الصورة وقماشه سيء,negative,deceptive
[20-30),female,namshi,Necklaces,1,جودتها سيئة ما تستحق هذا السعر,negative,deceptive
[20-30),female,Amazon,Building Sets,2,بوصف المنتج مكتوب انه اللعبه مغناطيسيه لكن بعض القطع وصلت بدون مغناطيس وصراحة ألوانها سيئة ومزعجة للعين,negative,deceptive
[20-30),female,Amazon,Building Sets,1,اللعبه صعبه على الاطفال ووزن القطع ثقيل على يديهم,negative,deceptive
[20-30),female,Noon,Camera,1,جودتها خرابيط تنكسر بسهولة وثقيلة ما حبيتها ولا أنصح فيها ,negative,deceptive
[20-30),female,Noon,Camera,1,قبيح شكلها وبويتها تتقشع وتتمخش بسرعة ما أعجبتني أبدًا فيه شركات أحسن,negative,deceptive
[20-30),female,namshi,Sports Shoes,1,غير مريح نهائيًا مزعج المشي فيه وثقيل مرة كأنه بلك,negative,deceptive
[20-30),female,Noon,Earphones,1,السماعة خربانة، اسوء سماعة شريتها,negative,deceptive
