category,polarity,class,text
Home_and_Kitchen_5,negative,truthful,"Super rough, not soft wash cloths, more like bar towels"
Home_and_Kitchen_5,negative,truthful,Does not do a very good job; difficult to use.
Home_and_Kitchen_5,negative,truthful,"It's kind of small, we were looking for something larger."
Home_and_Kitchen_5,negative,truthful,"Does the job, but nothing special. Not hard to install."
Home_and_Kitchen_5,negative,truthful,Bought 2 and sent one back because it didn't work
Home_and_Kitchen_5,negative,truthful,"sheds all over, would not buy it ever again. blanket."
Home_and_Kitchen_5,negative,truthful,These are so weak. They barely bring in any air.
Home_and_Kitchen_5,negative,truthful,Stopped working after one use still waiting on my refund
Home_and_Kitchen_5,negative,truthful,"do not expected to be so poor on quality ,"
Home_and_Kitchen_5,negative,truthful,My car smells no different after 3 weeks.  Snake oil.
Home_and_Kitchen_5,negative,truthful,Its nice to have an organizer large enough for the utensils.
Home_and_Kitchen_5,negative,truthful,bottom will not stay on.....zero customer service  do not buy
Home_and_Kitchen_5,negative,truthful,"Somewhat hard to clean, not as convenient as I had hoped."
Home_and_Kitchen_5,negative,truthful,Ok pillow kind of too hard and firm not very soft
Home_and_Kitchen_5,negative,truthful,Noticed today top I'd bubbling up where a glass was set
Home_and_Kitchen_5,negative,truthful,Great for weighing in lbs and oz not grams. Fast shipping.
Home_and_Kitchen_5,negative,truthful,Do not waste your money.  It broke after one month.
Home_and_Kitchen_5,negative,truthful,Helps cool my memory mattress a little but not a lot.
Home_and_Kitchen_5,negative,truthful,Burns the hell out of my hands. Doesn't work at high temps
Home_and_Kitchen_5,negative,truthful,"Was a gift, so don't know how it is. It is beautiful."
Home_and_Kitchen_5,negative,truthful,Not enough for a whole pie. Would need two or three sets.
Home_and_Kitchen_5,negative,truthful,Plastic threads in the socket and the bulbs sent do not fit.
Home_and_Kitchen_5,negative,truthful,Nice. haven't totally unpacked it yet. is a gift. Styrofoam all over the place.
Home_and_Kitchen_5,negative,truthful,don't last long if you pull it along but otherwise it's ok
Home_and_Kitchen_5,negative,truthful,"very slow toasting, my rye bread becomes rock hard before it's toasted."
Home_and_Kitchen_5,negative,truthful,"I do find it a bit too soft, but overall it's ok."
Home_and_Kitchen_5,negative,truthful,worked OK the one time before it fell apart and became unusable
Home_and_Kitchen_5,negative,truthful,This one came to me broken!! The handle was a broken piece!
Home_and_Kitchen_5,negative,truthful,Wish these were thicker. The cute polka dots pretty much disappear after baking.
Home_and_Kitchen_5,negative,truthful,Returned and exchanged twice now. Base broken every time. Over it.
Home_and_Kitchen_5,negative,truthful,If their handles were a bit thicker/stronger they will be a great product.
