index,text,class
0,"The app is helpful, but it takes too long to load on older phones.",truthful
2,This is a waste app. After few days it started to shiw nothing and it says it takes time to sync with the calender but still after 24 hrs they dont sync. Please dont install this app and then expect to be productive.,truthful
4,"The app’s file backup system is reliable, but it doesn’t support real-time syncing.",truthful
5,"I simply love TickTick but am growing weary of the widgets not updating. If I open the app, they update after a minute or so. However, if I don't need to use the app (therefore not opening it), the widgets stop updating after some amount of time. Is there a setting I'm missing, or do I need to ""not optimize"" TickTick's battery use? EDIT: In addition, actions taken via the widget do not update the app/website until i open the app explicitly.",truthful
7,"The app’s chat bubbles are helpful, but they take up too much screen space.",truthful
8,"Pop up stating "" the app has been blocked by the system. Please authorize the app in your device settings. Troubleshooting or refresh background tasks "" is flashing on my device. May I know what is this about?",truthful
9,"The app’s document editor is functional, but it doesn’t support multi-language text translation.",truthful
12,"The app’s multi-device sync works, but it occasionally loses data.",truthful
13,"The file sharing works well, but there’s no option to share via email directly.",truthful
15,"The app works fine, but it’s not as intuitive as I’d like.",truthful
16,"The app’s navigation system provides good directions, but it doesn’t account for road closures.",truthful
17,"The app’s weather tracker provides accurate data, but it doesn’t include sunrise and sunset timings.",truthful
18,"The app’s screen recording feature works, but it doesn’t support audio recording.",truthful
20,Easy to use. Great for creating new routines and habits,truthful
21,"Hey there, lots of compulsory improvements needed ASAP like check boxes, short note or comment on routine and many more. Suppose my class which was on routine got cancelled and I want to delete it from my schedule... I can't do it. It still get counted in my day summary. You got potential don't just give a way to other apps. Cheers",truthful
24,"Best app to manage your to do list, and its syncing feature b/w laptop & mobile is amazing...",truthful
25,"The app’s weather tracker is good, but it doesn’t provide pollen count updates for allergy sufferers.",truthful
26,Great app! Works exactly like it says it would.,truthful
28,"The app works well, but it’s a little slow at times.",truthful
30,Lots of great info in one spot!,truthful
31,"The app’s photo gallery organizes images well, but it doesn’t allow users to create folders for sorting photos.",truthful
34,With in 2 minutes the Pascoe locked me out then didn't recognize my email. Not bothering to email since I didn't even get a chance to try it yet.,truthful
35,"The app’s navigation system is accurate, but it doesn’t support lane guidance for highway exits.",truthful
38,Love that my husband and I can share our lists!,truthful
39,"The app’s budget tracker is good, but it doesn’t allow users to track income alongside expenses.",truthful
43,I was little starting to be comfortable comparing to other app..unless the premium came up.. I don't any personal ac to pay just to get reminded 🤧where multiple remider doesn't work..i literally start loving and hate at the same time..u can't get multiple unless u get premium..:) this ain't my app,truthful
44,New layout and functionality is no bueno. Don't like the interface for rescheduling tasks. Please fix!!!,truthful
46,"Всё отлично, но не работает таймер Помодоро:(",truthful
47,"The app’s video player is good, but it doesn’t allow for subtitle customization.",truthful
49,"The app’s budget tracker is helpful, but it doesn’t provide cash flow analysis.",truthful
50,"Easy to use but needs some features. We mostly use it for a communal shopping list. It would be nice if you could assign categories to items such as frozen, produce... it works great for a to do list either shared or personal.",truthful
51,"The app is fine, but the login process could be smoother.",truthful
52,"The app’s video streaming works, but it’s not available in all regions.",truthful
53,"I prefer to use apps in portrait mode on my 7 inch phone/tablet (Huawei Mediapad X2, 1920*1200). When the keyboard pops up while adding a task, I can barely see what I'm typing because the screen height is greatly reduced in landscape.",truthful
54,"The app’s photo backup works, but it doesn’t allow selective restores.",truthful
55,"The app’s document editor is functional, but it doesn’t offer version history tracking.",truthful
56,"Useful in orgnanizing lists and tasks, along with sub-lists and notes. Easy to use, and can set reminders and due dates.",truthful
57,"The app is useful, but the search function is hard to use.",truthful
58,"The app’s fitness tracker syncs well, but it doesn’t provide real-time updates.",truthful
59,I love everything! I just want the XP bar to have a cool animation of actually filling up in front of me!!! It's the only reasons I still use RPG life...I know it's petty...but animations are important for an app,truthful
60,"The app’s task manager is helpful, but it doesn’t support recurring deadlines.",truthful
61,"I've had this app for a long time but only just started using it. It works well enough for what I need keeping track of the things I need to do. I think the free options are quite reasonable to, although as with most apps there is a paid option/version too.",truthful
62,"It works fine, but there’s a steep learning curve.",truthful
